City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bredasdorp,ZA,65.28,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
1,New Norfolk,AU,77.88,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
2,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Butaritari,KI,81.84,moderate rain,3.0707,172.7902,Isles Sunset Lodge
6,Rikitea,PF,79.02,few clouds,-23.1203,-134.9692,People ThankYou
9,Ribeira Grande,PT,61.07,clear sky,38.5167,-28.7,Quinta da Meia Eira
10,Port Alfred,ZA,72.93,broken clouds,-33.5906,26.891,The Halyards Hotel
11,Chincha Alta,PE,65.75,overcast clouds,-13.4099,-76.1323,Buena Vista Casa Hotel
12,Rocha,UY,62.85,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
14,Ushuaia,AR,60.46,broken clouds,-54.8,-68.3,Albatross Hotel
15,Maragogi,BR,79.21,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
17,Te Anau,NZ,70.7,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
18,Viedma,AR,61.52,clear sky,-40.8135,-62.9967,Hotel Cristal
21,Hermanus,ZA,65.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
22,Hilo,US,74.93,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
24,Puri,IN,66.72,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
25,Itacarambi,BR,66.7,overcast clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
32,Chuy,UY,63.79,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
35,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
36,Hobart,AU,78.22,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
38,Mar Del Plata,AR,65.08,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
42,Ponta Do Sol,PT,63.23,clear sky,32.6667,-17.1,Hotel do Campo
43,Gigmoto,PH,79.63,scattered clouds,13.7796,124.39,Cj's Travellers Inn
45,Castro,BR,61.56,clear sky,-24.7911,-50.0119,CHACARA BAILLY
46,Vila Do Maio,CV,68.79,clear sky,15.1333,-23.2167,Hotel Marilu
48,Prado,BR,76.06,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
50,Arraial Do Cabo,BR,75.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
52,Faanui,PF,81.01,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
56,Cape Town,ZA,64.27,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
57,Mataura,NZ,60.48,clear sky,-46.1927,168.8643,Ellie's Villa
61,Bluff,NZ,60.8,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
62,Mangrol,IN,64.15,clear sky,21.1167,70.1167,Hotel The Royal Honours
64,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
65,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti Beach Resort
66,Pisco,PE,67.01,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
69,Saint-Philippe,RE,78.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
72,Kavaratti,IN,77.65,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
73,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,Austral Hotel
74,Ulladulla,AU,74.3,scattered clouds,-35.35,150.4667,Sandpiper Motel
75,Omboue,GA,77.04,broken clouds,-1.5746,9.2618,Hotel Olako
76,Busselton,AU,67.08,broken clouds,-33.65,115.3333,Observatory Guest House
83,Nabire,ID,82.9,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
89,Pacific Grove,US,60.57,clear sky,36.6177,-121.9166,Lovers Point Inn
91,Nelson Bay,AU,77.29,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
92,Roebourne,AU,89.92,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
93,Nuevitas,CU,72.84,clear sky,21.5453,-77.2644,Hotel Caonaba
95,Atuona,PF,78.8,few clouds,-9.8,-139.0333,Villa Enata
97,Santa Isabel Do Rio Negro,BR,72.3,overcast clouds,-0.4139,-65.0192,Hotel GSA
99,Namibe,AO,72.28,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
100,Mogadishu,SO,76.87,scattered clouds,2.0371,45.3438,Hotel Juba
102,Victoria,HK,65.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
103,Chibombo,ZM,61.57,overcast clouds,-14.6569,28.0706,Chibombo District Council Guest House
105,Lazaro Cardenas,MX,75.24,few clouds,17.9583,-102.2,quinta antigua
106,Ballina,AU,75.38,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
108,Yulara,AU,89.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
109,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
110,Toamasina,MG,73.4,few clouds,-18.1667,49.3833,Hotel H1
115,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
121,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
123,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
125,Port Lincoln,AU,79.56,clear sky,-34.7333,135.8667,Port Lincoln Hotel
126,Georgetown,MY,84.13,light rain,5.4112,100.3354,Cititel Penang
130,Tuatapere,NZ,60.82,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
133,Nago,JP,66.27,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
140,Coihaique,CL,68.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
141,Caravelas,BR,76.24,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
146,Itarema,BR,78.8,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
151,Daru,PG,85.17,overcast clouds,-9.0763,143.2092,Daru Lodge
153,Bandarbeyla,SO,74.34,overcast clouds,9.4942,50.8122,JABIR HOTEL
154,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
155,Geraldton,AU,77.41,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
156,Biak,ID,83.59,overcast clouds,-0.9131,122.8766,Penginapan Kim
157,Kibala,TD,71.28,clear sky,9.1104,18.3463,hotel safari
160,Basco,PH,73.33,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
165,Kununurra,AU,87.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
166,Coquimbo,CL,64.13,overcast clouds,-29.9533,-71.3436,Hostel Del Puerto
168,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
170,Orito,CO,70.54,overcast clouds,0.6766,-76.8771,Mayju
172,Kloulklubed,PW,82.36,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
174,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
175,Port Blair,IN,78.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
176,Hithadhoo,MV,82.42,scattered clouds,-0.6,73.0833,Scoop Guest House
177,Cockburn Town,TC,76.01,clear sky,21.4612,-71.1419,Osprey Beach Hotel
182,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
185,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
187,East London,ZA,71.38,overcast clouds,-33.0153,27.9116,Tu Casa
190,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
195,Baniachang,BD,62.11,clear sky,24.5167,91.3667,Khan Palace
196,Kavieng,PG,83.66,broken clouds,-2.5744,150.7967,Nusa Island Retreat
198,Ishigaki,JP,68.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
203,Kalmunai,LK,77.56,broken clouds,7.4167,81.8167,VS Villa
205,Piraquara,BR,68.79,scattered clouds,-25.4417,-49.0633,Hora do Banho - Clínica veterinária - Hotel - Banho & Tosa
206,Imbituba,BR,75.09,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
