,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,65.28,88,13,5.75,few clouds
1,New Norfolk,AU,-42.7826,147.0587,77.88,31,0,3.0,clear sky
2,Kapaa,US,22.0752,-159.319,80.58,72,40,1.01,scattered clouds
3,Kokkola,FI,63.8385,23.1307,30.92,92,75,4.0,broken clouds
4,Butaritari,KI,3.0707,172.7902,81.84,76,71,15.43,moderate rain
5,Saint George,US,37.1041,-113.5841,54.19,24,0,1.01,clear sky
6,Rikitea,PF,-23.1203,-134.9692,79.02,72,16,18.75,few clouds
7,Pevek,RU,69.7008,170.3133,-23.37,98,27,0.92,scattered clouds
8,Lebu,CL,-37.6167,-73.65,59.22,92,3,15.41,clear sky
9,Ribeira Grande,PT,38.5167,-28.7,61.07,83,9,16.02,clear sky
10,Port Alfred,ZA,-33.5906,26.891,72.93,79,82,4.97,broken clouds
11,Chincha Alta,PE,-13.4099,-76.1323,65.75,82,99,1.28,overcast clouds
12,Rocha,UY,-34.4833,-54.3333,62.85,85,100,13.89,overcast clouds
13,Dimitrovgrad,RU,54.2139,49.6184,19.45,98,92,3.24,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,60.46,67,75,12.66,broken clouds
15,Maragogi,BR,-9.0122,-35.2225,79.21,73,47,6.4,scattered clouds
16,Khatanga,RU,71.9667,102.5,-17.07,98,99,9.6,overcast clouds
17,Te Anau,NZ,-45.4167,167.7167,70.7,39,26,1.39,scattered clouds
18,Viedma,AR,-40.8135,-62.9967,61.52,73,0,9.26,clear sky
19,Portland,US,45.5234,-122.6762,50.86,82,20,3.0,few clouds
20,Umm Kaddadah,SD,13.6017,26.6876,52.2,31,62,14.14,broken clouds
21,Hermanus,ZA,-34.4187,19.2345,65.8,92,66,4.25,broken clouds
22,Hilo,US,19.7297,-155.09,74.93,78,100,8.05,light rain
23,Dali,CN,25.7,100.1833,47.34,48,1,2.04,clear sky
24,Puri,IN,19.8,85.85,66.72,55,94,4.14,overcast clouds
25,Itacarambi,BR,-15.1022,-44.0919,66.7,98,100,0.51,overcast clouds
26,Lipari,IT,38.4674,14.954,56.55,78,85,20.02,overcast clouds
27,Gao,ML,16.6362,1.637,59.88,15,0,12.64,clear sky
28,Lavrentiya,RU,65.5833,-171.0,-15.63,95,56,5.19,broken clouds
29,Faya,SA,18.3851,42.4509,48.72,84,9,3.42,clear sky
30,Husavik,IS,66.0449,-17.3389,24.71,85,100,14.5,overcast clouds
31,Omsukchan,RU,62.5333,155.8,-4.77,78,7,0.98,clear sky
32,Chuy,UY,-33.6971,-53.4616,63.79,74,41,15.66,scattered clouds
33,Constitucion,CL,-35.3333,-72.4167,57.79,80,0,4.09,clear sky
34,Upernavik,GL,72.7868,-56.1549,-14.49,100,100,8.41,overcast clouds
35,Avarua,CK,-21.2078,-159.775,80.65,69,75,11.5,broken clouds
36,Hobart,AU,-42.8794,147.3294,78.22,42,20,1.01,few clouds
37,Nichinan,JP,31.6,131.3667,46.08,44,99,1.21,overcast clouds
38,Mar Del Plata,AR,-38.0023,-57.5575,65.08,79,40,5.01,scattered clouds
39,Norman Wells,CA,65.282,-126.8329,-12.96,70,100,17.27,light snow
40,Avera,US,33.194,-82.5271,42.75,54,99,6.71,light rain
41,Noyemberyan,AM,41.1724,44.9992,31.39,54,23,6.13,few clouds
42,Ponta Do Sol,PT,32.6667,-17.1,63.23,68,7,10.65,clear sky
43,Gigmoto,PH,13.7796,124.39,79.63,83,49,15.17,scattered clouds
44,Srednekolymsk,RU,67.45,153.6833,-25.64,96,30,1.68,scattered clouds
45,Castro,BR,-24.7911,-50.0119,61.56,84,2,2.1,clear sky
46,Vila Do Maio,CV,15.1333,-23.2167,68.79,81,2,10.76,clear sky
47,Jamestown,US,42.097,-79.2353,29.79,45,0,10.36,clear sky
48,Prado,BR,-17.3411,-39.2208,76.06,89,75,7.2,broken clouds
49,Lugovoy,KZ,42.9472,72.7644,31.86,99,100,4.34,light snow
50,Arraial Do Cabo,BR,-22.9661,-42.0278,75.36,92,0,18.75,clear sky
51,Saskylakh,RU,71.9167,114.0833,-27.18,100,93,4.09,overcast clouds
52,Faanui,PF,-16.4833,-151.75,81.01,75,100,20.13,light rain
53,Kodiak,US,57.79,-152.4072,36.91,48,100,5.75,overcast clouds
54,Pachino,IT,36.7186,15.0907,51.84,79,60,21.27,broken clouds
55,Acapulco,MX,16.8634,-99.8901,80.42,74,0,9.22,clear sky
56,Cape Town,ZA,-33.9258,18.4232,64.27,88,75,1.01,broken clouds
57,Mataura,NZ,-46.1927,168.8643,60.48,34,8,2.75,clear sky
58,Chokurdakh,RU,70.6333,147.9167,-39.73,99,79,3.85,broken clouds
59,San Patricio,US,28.017,-97.5169,58.98,83,100,9.93,overcast clouds
60,Bay Roberts,CA,47.5999,-53.2648,13.66,72,38,4.0,scattered clouds
61,Bluff,NZ,-46.6,168.3333,60.8,66,0,13.38,clear sky
62,Mangrol,IN,21.1167,70.1167,64.15,72,5,7.0,clear sky
63,Brantford,CA,43.1334,-80.2664,30.72,76,51,1.99,broken clouds
64,Makakilo City,US,21.3469,-158.0858,79.12,60,75,9.22,broken clouds
65,Vaini,TO,-21.2,-175.2,77.16,100,100,11.5,moderate rain
66,Pisco,PE,-13.7,-76.2167,67.01,94,40,5.75,scattered clouds
